Genes,TNBC1,TNBC2,TNBC3,TNBC4,TNBC5,TNBC6,TNBC7,TNBC8,TNBC9,TNBC10,Normal1,Normal2,Normal3,Normal4,Normal5,Normal6,Normal7,Normal8,Normal9,Normal10
UBE2QL1,173,196,47,26,822,538,223,325,100,10,197,41,152,119,125,181,46,128,128,133
UBE2R2,4811,4452,3466,14115,5521,7815,9772,16399,3989,5837,5384,4832,6218,5105,4733,4751,4021,4212,4433,4269
UBE2S,2081,4080,2058,4430,376,1272,2956,5689,3056,3445,419,162,445,121,354,204,141,140,508,98
UBE2T,1997,1564,5626,9664,857,2357,7368,4368,4689,887,175,124,210,36,183,99,97,67,222,38
UBE2V1,8322,7121,5397,25284,15009,9564,15195,14547,12667,8543,9346,5342,8207,6519,8845,6708,6696,5516,7427,6526
UBE2V2,3831,3208,5085,4092,7822,9246,10740,5499,5331,2004,2386,1535,2096,1642,1687,1957,1936,1673,1334,1738
UBE2W,1763,1255,1560,1784,5177,4448,2704,2200,2349,654,1415,1254,1941,1755,1129,2025,1853,1527,799,1141
UBE2Z,5882,8537,2268,12963,11338,11622,7670,8610,17101,3107,8768,4031,8310,3479,5948,6985,4686,5254,12940,3720
UBE3A,4054,3534,2054,2508,5902,8500,4819,5580,3548,2624,6048,3137,8071,4125,4079,6786,4855,4617,3338,3670
UBE3B,3223,3502,1193,4199,5289,3979,3757,5356,2156,1489,3274,2474,4781,4024,3464,3843,2722,2631,2647,2843
UBE3C,3569,4713,2446,6718,15622,14121,2637,9592,6772,4499,5229,4451,6920,6178,4819,5332,5364,4370,3936,5715
UBE4A,2869,4672,1763,7926,14360,9243,6157,7629,4249,2997,4323,3990,7173,5158,3867,5619,4255,4116,2823,4858
UBE4B,4070,2929,1502,3150,3336,5730,2645,10172,4229,4450,4118,3073,6335,3664,3305,4459,3370,2975,3400,3872
UBFD1,1626,3664,3032,5498,8104,13201,5899,14571,3795,2234,4196,2731,5828,2836,3089,3718,3490,2377,3741,2410
UBIAD1,1096,1319,505,1230,1662,2355,1551,2038,1878,2892,1862,622,1777,924,1522,1651,1353,1268,1621,816
UBL3,1797,1433,1114,1212,14736,7169,3876,6623,2429,619,3679,3644,5422,4072,3849,6327,3806,4316,1910,3822
UBL4A,4747,4204,1496,6826,4559,3115,3010,6796,4730,2807,2872,1653,2233,1948,2673,2425,1633,1812,2836,1612
UBL5,2536,3897,10837,8355,5999,3514,9371,7842,10161,3542,5219,2619,2620,2598,4378,2947,2216,2762,4147,2988
UBL7,1322,1794,1131,2902,1637,2393,9463,4110,5438,1113,2618,1272,2101,1326,2482,1742,1115,1387,2703,1321
UBLCP1,1318,897,641,1992,1649,2337,2415,3730,3624,501,2269,1324,1974,1174,1470,2142,1427,1923,1203,1062
UBN1,4852,6794,1841,6576,8622,9406,4367,9027,7375,2209,4152,2883,5515,3303,3996,5352,3007,3167,2546,2989
UBN2,1363,1075,2021,4361,4705,3385,1838,2703,2295,1923,2138,1320,4502,1542,1313,3323,1806,1714,1088,1041
UBOX5,779,547,555,2105,1330,1231,545,838,1347,1563,1090,508,1350,713,994,1024,758,852,910,633
UBP1,6617,4644,3841,4989,8569,20374,6952,6897,14640,2535,6858,2858,7625,2967,4855,7936,4066,5891,3782,2471
UBQLN1,7589,8716,3143,11598,15661,18831,9392,8729,24704,6252,8822,5836,10378,9062,6963,9481,7653,7205,5533,7289
UBQLN2,4112,3619,1829,4047,4910,8750,3625,6074,3810,2943,3968,2408,4640,2476,3009,4475,2647,2892,2424,2157
UBQLN4,9719,13731,8219,16621,7442,7255,12026,10419,11430,6445,3969,1774,3994,1860,2899,3099,2056,2242,3647,1757
UBR1,1236,1080,628,698,6270,3799,1495,1109,1591,565,2580,2009,3846,2961,1750,3418,2437,2436,1298,2633
UBR2,2464,3062,973,1757,5009,6707,4436,4299,3863,2029,2175,2273,3930,2993,1677,3776,2238,2404,1323,2517
UBR3,1964,3268,1944,2736,6913,7516,3977,2570,5636,1423,3157,3312,5747,5777,2869,4860,3956,3687,1590,4546
UBR4,12295,12051,2053,6291,14893,28669,6509,10273,14834,6954,10393,7826,15492,10210,8598,13287,9110,7809,7129,10052
UBR5,9758,10864,5674,14796,19345,23434,13400,11808,9250,3816,8416,5474,13348,7451,5593,11988,10249,7504,4315,7307
UBR7,1970,3290,1051,4373,8164,5484,8078,3756,4805,1364,3298,1928,3523,1925,2886,3878,2371,2392,2889,1883
UBTD1,533,815,592,1653,497,1363,349,2240,521,1173,841,561,685,1263,1201,450,487,537,1075,459
UBTD2,1489,2070,2810,3287,5011,2804,2437,6287,2244,1164,2887,1899,3961,1745,2098,3168,2170,2013,1961,1461
UBTF,5730,8230,2823,19430,6607,7247,4863,11483,9854,3117,9542,4406,9570,4836,7662,7640,5432,5742,7683,4586
UBXN10,36,49,62,104,250,324,67,214,28,340,1220,72,1116,34,694,587,865,695,482,54
UBXN11,968,289,912,805,189,704,507,1538,1210,364,1719,659,814,239,1101,1102,511,636,998,410
UBXN1,2705,4053,2499,5639,1096,2251,896,13559,7918,4007,6463,3411,4155,3593,6551,3994,2850,3647,5938,3385
UBXN2A,850,1969,440,1125,989,1980,2349,1244,2151,765,1074,616,1198,910,660,1022,763,922,648,803
UBXN2B,1803,2370,2149,4446,8651,4876,5169,4398,3848,1051,2406,1081,2792,1037,1259,2751,1577,1613,1385,953
UBXN4,6784,7214,6681,13469,18755,15895,13963,9130,6001,3093,8946,5414,11540,5578,5966,10563,6806,7402,4833,5451
UBXN6,1401,2992,1698,3674,2373,2434,972,4345,4669,2851,6362,3469,4064,4201,6761,3725,2964,3362,6155,3760
UBXN7,1162,938,209,907,1347,4296,1044,1757,1158,385,528,981,2134,1019,279,1557,971,805,240,1088
UBXN8,355,177,225,443,2421,589,554,272,275,260,529,491,460,538,492,453,327,420,454,508
UCHL1,3229,508,7481,2459,502,2486,5024,6292,35940,151,474,1445,420,933,3004,224,1312,968,138,3948
UCHL3,594,1857,407,1635,4123,1184,7552,3501,1696,1080,1468,650,1039,647,1211,882,573,691,1184,940
UCHL5,2091,2162,951,3329,3339,3818,5359,4103,5274,3181,1115,686,1328,864,799,1096,755,917,679,827
UCK1,1030,1269,1151,1936,1120,2301,805,2085,1646,785,2655,1298,1669,1872,2175,2071,1232,1417,2156,1714
UCK2,2903,2211,1730,6024,1237,2376,8815,4902,4957,3084,1057,338,1217,214,550,879,461,521,1054,242
UCKL1,1935,2192,1498,1820,1026,2079,1330,2510,1697,830,1683,595,1309,816,1111,1306,841,893,1329,636
UCP2,2098,4644,3822,9218,22868,7373,3097,10998,4160,44590,5959,8021,3725,6597,9081,4098,2329,2338,6767,4356
UCP3,50,46,43,103,28,86,78,201,60,51,70,41,97,36,39,92,41,48,42,21
UEVLD,588,546,113,360,2760,1345,349,601,1171,397,670,644,959,821,590,1058,902,772,430,755
UFC1,10474,12259,8833,27413,9679,7072,10637,24374,8645,21670,7898,3760,5540,3320,6521,5334,3339,4246,5930,3724
UFD1L,2487,2781,2838,10839,2963,4033,7328,3205,6670,2408,3423,1780,2251,1960,2908,2367,1895,2164,2637,1814
UFM1,4248,3878,1752,2913,10768,3984,7854,4666,7110,1592,4454,3025,5295,3137,3744,5647,4202,3997,2900,3597
UFSP1,57,92,211,39,96,63,50,251,43,112,87,32,66,31,71,53,32,35,89,33
UFSP2,821,1340,513,1697,1990,1498,1134,2532,1772,643,2616,1418,2340,2341,2467,2317,1463,2200,1586,2352
UGCG,582,386,47,144,1822,1115,444,737,715,188,735,436,1874,561,607,1169,1870,1036,461,514
UGDH,2663,3273,1641,1131,6297,5830,1531,5615,3179,713,7358,3754,4709,1662,3760,2447,4833,3529,5903,2301
UGGT1,4652,7520,3019,9286,13475,12449,8067,8288,10899,2391,5327,4248,6637,3801,4094,4529,4055,3523,4016,4078
UGGT2,348,728,687,2734,2778,4931,1387,4226,834,560,1722,901,1824,1052,850,1470,983,1150,962,811
UGP2,4791,7430,3400,11201,12672,14082,25496,9210,10002,7446,10482,21580,10995,24159,19996,10968,16405,12857,6421,25532
UGT8,792,591,240,2132,13,417,1398,1506,3671,36,221,12,1212,19,71,295,116,186,246,11
UHMK1,2601,1131,149,641,4317,4494,1887,1596,1784,637,589,1193,2265,1659,456,1771,2167,753,132,1866
UHRF1BP1L,1315,1505,310,1648,2000,3301,1601,1817,2033,725,1370,1318,2222,1383,1181,1784,1533,1430,777,1910
UHRF1BP1,1109,2393,735,1497,4991,7460,5415,1886,6927,930,1509,1465,2227,3086,1360,2332,1869,1452,856,1804
UHRF1,1263,1358,633,8963,456,1035,5134,2961,4113,431,181,124,203,8,121,64,139,61,395,21
UHRF2,3063,1692,1504,3488,2264,3322,5024,8547,2498,1147,2046,1418,3316,1432,1443,2804,1067,2302,1169,1211
UIMC1,1022,1032,509,1912,1529,2132,731,2832,1762,324,1636,789,1510,823,1128,1428,676,1352,881,719
ULBP3,284,18,24,8,103,383,435,303,386,18,73,15,127,36,40,66,47,61,94,26
ULK1,2039,3996,2145,6093,2945,3689,2203,5037,4500,3324,3388,1829,4055,2207,3512,2913,2193,1941,3733,2197
ULK2,815,2134,1591,2097,4489,3531,823,807,2940,909,2512,1648,2636,2600,2109,2507,1999,1564,1128,2172
ULK3,1337,1350,1676,5364,1026,1982,4603,2725,4315,1177,2045,765,1825,683,1304,1453,869,844,1673,654
ULK4,59,59,39,26,248,58,218,169,289,107,311,303,286,388,281,185,160,179,111,121
UMPS,2830,2052,663,4518,2177,2651,4266,7331,5150,3235,2174,865,2084,891,1722,1702,1202,1526,1837,1027
UNC119B,1072,1735,627,1983,2665,3749,1203,7808,3832,1408,4693,2427,4254,2520,3202,5933,2832,2383,3260,2372
UNC119,477,1296,1793,2336,824,1784,494,2322,2014,404,2278,597,1631,980,1510,1218,931,923,1568,1030
UNC13B,1758,1977,1815,6737,5767,3613,2531,2207,1396,1187,3594,2818,5320,4148,3708,4314,3841,2925,2678,4610
UNC13D,1868,4913,198,767,755,5881,436,4436,5300,1217,1322,219,778,57,617,695,254,247,1072,184
UNC45A,3739,5286,1930,7563,2606,10451,1717,8755,16951,2527,7256,3338,6429,4042,6609,4446,2938,4012,6119,3130
UNC50,1047,1218,1040,2286,2604,2179,2219,2470,2527,494,2156,1043,1730,1274,1686,2141,1360,1437,1336,1349
UNC5B,2803,2440,2676,1652,5555,5542,703,1180,1818,1214,1209,448,1332,1131,1245,1294,891,837,1417,316
UNC5CL,36,272,233,31,37,304,109,89,38,12,120,23,122,25,59,153,64,55,88,21
UNC5C,46,91,1,37,63,170,14,21,33,1,188,55,147,46,52,218,208,73,82,53
UNC93B1,1532,3223,965,1023,1059,4054,359,3493,2172,745,2886,1430,1533,855,2366,1544,1239,980,1997,739
UNG,2508,5083,2132,9212,2768,5324,7191,12432,7287,1350,3056,1319,2768,1884,2753,2363,2092,2123,2892,1794
UNKL,556,655,1391,1528,1091,681,482,2605,1350,395,988,947,1550,1067,1371,1673,771,952,1049,1103
UNK,1186,1360,771,4326,1553,2423,1293,4664,2732,537,2214,856,2602,838,1576,2446,974,1744,1550,831
UPF1,5526,6264,3791,10002,7901,9603,4245,9415,6730,3636,9105,3654,9463,4445,6900,6702,4939,5486,6807,4390
UPF2,6065,6320,1667,7509,3671,14058,5317,6596,9126,2519,3040,1911,4026,1858,1780,4207,1944,3134,1523,2309
UPF3A,1479,1524,897,8936,1777,6357,1837,5679,1415,1011,2218,785,2085,1603,1604,2335,1417,1620,1278,1740
UPF3B,2189,1198,651,2558,786,1421,1277,8358,1693,1180,1000,408,801,306,515,930,327,669,383,477
UPK3BL,278,210,1022,4540,376,981,0,1946,160,664,396,290,901,565,625,173,91,379,635,343
UPP1,683,1456,540,437,184,1622,416,1025,2501,168,436,376,254,280,713,252,288,278,404,419
UPRT,1165,679,678,914,1031,1165,861,484,674,548,745,383,1032,476,595,727,488,738,553,390
UQCC,1824,809,1506,2235,2551,1245,2417,8089,2669,2031,2472,1338,2560,2185,2072,2042,2330,1670,1770,1827
UQCR10,1777,3425,5085,6266,4259,3858,7064,4366,6224,3284,3799,2128,2017,2490,3781,2331,1823,1935,3543,2364
UQCR11,1217,2323,4887,6209,1602,2314,1825,4471,4277,2565,4184,2186,2299,2616,3914,2169,1872,1995,3358,2393
UQCRB,5520,10789,22214,18780,12724,13568,15727,17823,16141,10346,11614,6731,8132,8073,9454,6657,5437,6931,8875,6090
UQCRC1,6591,9786,4307,6700,9451,10493,4282,10612,11830,6842,9008,4294,5838,6145,9087,5096,4132,4945,9166,4128
UQCRC2,5812,8635,4188,6520,9999,12325,11295,15417,7599,5623,11892,8848,12210,14493,11064,9784,10240,8711,8948,10655
UQCRFS1,23938,5110,4820,3917,8371,3042,5650,9321,8613,3781,4566,3482,3999,5209,5079,3671,3483,3545,3665,4100
UQCRHL,1673,2040,887,5548,469,1313,1474,6939,3924,2645,1588,974,1361,1358,1321,1143,902,925,964,922
UQCRH,6041,5811,4020,21968,2145,5224,11388,23323,13686,7923,4491,3005,3921,4125,4300,2782,2655,2829,4039,2779
UQCRQ,2212,3866,5465,11043,4283,2086,2988,9573,4294,3230,5787,2838,2799,3410,5081,2511,2390,2727,6831,2901
URB1,4427,2071,603,2047,3489,5403,2832,4073,5412,1136,3439,1732,6103,2103,2748,3138,2070,2608,2283,1988
URB2,1060,2366,884,2734,3252,2968,2300,3699,2467,706,979,422,1471,724,761,878,892,668,730,509
URGCP,1308,2445,1987,2861,3255,2310,1658,3818,3849,1962,2930,1732,3731,1907,2902,2482,1536,2306,2558,1812
URM1,2343,2079,1566,2062,2146,3113,1754,4600,2781,1698,3295,1940,2443,2050,3089,2113,1764,1893,3400,1749
UROD,2823,2709,2073,5248,2521,3249,2288,7325,5674,1565,4865,3226,3339,3859,5142,3289,2736,2856,3197,3904
UROS,1072,2203,836,2054,826,3045,1474,4415,1856,1593,1730,923,1305,1256,1823,1163,1014,976,1993,1280
USE1,493,568,931,797,419,534,754,2148,687,413,1034,563,809,849,1151,682,495,510,1098,704
USF1,4125,5375,2974,6972,1792,2957,2532,7010,2386,4032,3174,1680,1601,1476,2565,2397,1150,1401,1558,1583
USF2,4581,6910,4179,8797,3189,6624,3820,7609,11672,6795,7385,4230,5857,5975,6990,4876,4588,3994,5441,5351
USHBP1,41,25,141,117,29,51,17,52,20,27,423,447,316,604,695,438,360,527,203,422
USMG5,2681,1664,3340,3705,1589,2205,8679,5963,2493,4411,2185,1766,1476,2562,2326,1438,1327,1535,2254,1833
USO1,4850,4483,3093,8741,9606,11064,4672,16570,12995,3046,5920,4853,8376,6459,4643,6069,4805,5428,3495,5779
USP10,6814,4346,2221,6072,8770,8922,11221,12667,10496,2476,5192,2131,5225,2633,3656,4698,2578,3042,3396,2016
USP11,2676,3169,2047,3501,3571,6529,6575,4080,12427,1004,6357,2517,5079,2389,4560,4138,3344,3603,4372,2304
USP12,744,703,75,622,2440,3072,839,1395,1541,316,718,628,1440,1224,525,1328,919,877,370,1176
USP13,1249,2607,1217,7100,1454,5165,2254,4088,1878,1318,1143,1516,2503,2275,1369,2166,1904,1555,1064,1962
USP14,6297,4951,3159,5510,7844,21166,6477,7872,15562,5836,3602,3322,3702,4890,3542,4007,4043,2913,2610,3894
USP15,2329,3902,853,2238,4042,3662,2822,4009,2328,1266,2413,1855,2896,1916,1771,3122,1910,2129,1297,1956
USP16,3491,2709,745,2562,3394,5662,5908,4250,10380,1840,3361,2075,3466,3322,2460,4137,2809,2576,1687,3080
USP18,2077,2459,226,1508,951,5727,2900,1663,1359,428,980,480,508,730,642,1009,453,518,395,1186
USP19,2266,2824,940,1812,3300,4877,1332,4315,3949,1615,4609,2516,5843,3217,4482,4816,2735,3671,4524,3358
USP1,4668,7760,1079,19332,3721,16078,12396,14421,5973,2421,2609,1752,4088,1640,1944,4434,2142,2697,1914,1545
USP20,1173,1222,782,1194,1053,1661,390,2191,1410,933,2681,842,2212,1090,1966,2090,978,1622,2279,839
USP21,2473,2779,1597,5463,1643,1878,2574,5388,2174,2367,1683,641,1413,740,1154,1475,563,765,1289,576
USP22,8205,17133,7668,12084,23742,20558,7820,17857,15612,4979,20173,8403,20751,9111,14559,17893,12791,10659,17711,7907
USP24,4761,6991,1495,7578,5467,19516,7919,5617,6018,3770,3983,4123,6019,6507,3572,7296,5568,4225,2213,5865
USP25,2521,3365,1011,2425,2443,5462,2687,2765,4686,1217,2727,3192,4002,4141,2030,4401,3023,3281,1550,3867
USP27X,255,341,314,564,488,749,691,908,419,344,579,150,473,181,326,532,227,273,250,195
USP28,983,2062,635,1767,7074,3897,2088,5203,1923,932,1575,829,2136,782,1038,2007,626,1254,1169,675
USP2,60,473,108,398,18,1192,210,354,146,467,355,219,668,90,366,206,192,293,200,79
USP30,589,766,413,1946,1691,1620,1163,913,530,613,1447,962,1912,1569,1496,1878,1237,1414,1037,1457
USP31,2537,3322,1665,1902,2396,7701,2998,2220,2194,653,2516,975,2485,1283,1671,4359,1490,2216,1407,1034
USP32,2047,3108,805,2253,5101,7480,3513,4290,4434,1036,3070,1996,5018,2325,1688,3590,3404,2287,2042,2152
USP33,2847,3033,1576,11606,3317,9882,5028,7859,3405,1914,4835,3519,6101,6094,4604,6084,4468,4688,2770,5521
USP34,5647,7535,4176,9370,11169,19523,17788,11651,10811,5362,8022,6361,13619,8076,5773,12652,9074,7508,4858,8710
USP35,249,285,263,497,273,679,235,850,573,360,643,270,660,233,368,387,1163,459,439,308
USP36,4474,4743,1252,6418,4054,8718,4716,8123,7306,1632,3862,1881,4488,2224,2839,4151,2232,2800,2407,1848
USP37,1117,1050,516,3203,2447,3423,2543,3357,3119,586,926,657,2555,783,727,2048,923,1330,658,626
USP38,1736,1607,667,1859,5635,4109,2195,4370,1684,1102,1652,1206,3025,1522,1229,2479,1839,1712,1120,1363
USP39,2384,4607,1249,6490,6123,7695,7478,9645,7280,4609,3494,1752,3279,1953,2552,2873,2087,2379,2520,1859
USP3,1230,1442,628,806,2501,2492,2446,1685,2993,859,1594,1106,1815,1053,1221,1812,1053,1010,1125,965
USP40,1672,1277,1393,1014,7446,2480,797,3376,3298,639,3592,1821,4086,2186,2490,2958,1853,1938,2663,1738
USP42,1302,1106,492,2408,2124,4477,1653,2775,1591,1221,1143,509,1988,651,862,1455,732,996,705,544
USP43,418,548,365,4,2130,885,263,923,400,200,596,11,568,2,186,433,162,179,405,7
USP45,474,369,404,226,704,1028,976,1039,1026,248,531,340,644,406,292,710,448,379,207,234
USP46,1573,618,578,1604,1966,1987,1011,4415,2228,750,1353,965,2290,976,1138,1967,1422,1043,1154,855
USP47,3226,4241,2128,6813,12566,9168,4402,6106,7469,3802,7460,3630,8121,4619,4641,8247,4849,5769,3983,5273
USP48,3492,3284,1229,2769,2848,5638,3756,5646,7069,2349,4102,2720,5150,3157,3143,4308,2905,3158,2430,3060
USP4,2794,3878,1342,2244,6055,6475,3051,5510,4016,2382,5513,3076,5230,3713,4230,4807,3314,3527,3629,3922
USP51,65,71,32,71,237,515,129,274,180,86,157,116,263,121,76,285,132,138,77,112
USP53,1089,1163,1250,1002,3842,2905,1129,2822,3152,578,4109,3205,5592,3011,3155,4624,4697,3559,1371,4304
USP54,1713,1871,1935,4909,10019,2490,1231,5575,1595,3045,4601,760,6283,768,1945,3903,1881,2546,2287,738
USP5,4273,5412,2016,6199,4014,13308,6646,29442,9995,6214,5805,2884,4100,3179,5283,3443,3269,3249,6413,3499
USP6NL,3861,2637,1487,3395,3516,6251,4666,3775,4837,1477,1559,667,2316,1249,1045,2005,1146,1383,1136,1229
USP6,115,123,229,111,83,203,172,153,193,35,528,97,169,90,233,302,139,149,100,75
USP7,7304,11621,6308,11882,17261,12220,15709,15477,13814,4771,8600,4716,9797,5719,7178,9018,7708,6799,6747,6013
USP8,2761,3165,792,1908,4680,9895,2197,4352,3044,1618,3460,2599,4895,3155,2070,4512,2835,2991,1741,3277
USP9X,6803,9233,3107,10677,35342,25083,16730,13962,20915,10137,10371,9661,14167,12691,8706,12208,10972,8234,6154,13416
USPL1,1515,1039,372,1569,2350,3217,2284,5015,2037,546,1219,916,1830,1252,927,2173,961,1271,721,1094
UST,376,626,40,118,383,524,320,1855,603,336,599,1222,1071,802,807,772,698,983,538,1413
UTP11L,3919,1805,1056,6662,1693,2555,7063,4239,5965,1452,2037,917,1696,1029,1534,1491,1003,1333,1421,870
UTP14A,3288,2242,864,2022,2118,1584,3050,6035,3702,2038,2096,836,1941,769,1073,1670,830,1090,1290,766
UTP14C,1293,1748,569,1537,9312,3313,1617,3473,2231,966,3386,2049,5436,3113,2405,4837,3179,3552,1696,2893
UTP15,763,529,185,714,1488,984,1448,1250,1207,477,905,427,1120,559,608,1023,796,685,610,516
UTP18,2113,2826,588,3165,3876,4062,5644,4582,6493,1275,2062,1056,2091,710,1533,1609,1004,1474,1560,614
UTP20,3367,2251,582,3224,3635,4821,4554,5945,5441,499,1906,1290,3071,1552,1366,2612,1467,1742,1520,1648
UTP23,1536,1862,729,2516,3183,2068,2944,2003,2174,690,1381,878,1746,930,897,1655,1390,1006,799,954
UTP3,1784,1401,1426,1944,1254,1917,1883,3920,3511,1106,3077,1242,2588,1444,2182,2356,1442,1694,2367,1484
UTP6,2472,3100,1523,3509,3040,4405,2585,4804,3244,1370,2333,1446,2277,1473,1690,2070,1219,1642,1462,1376
UTRN,3151,3028,2134,3495,6498,10877,4567,7356,4114,1108,8830,14647,19433,24668,9833,20644,16608,15075,4264,19993
UVRAG,1473,1828,709,2194,2270,5308,2310,4359,2354,2129,2253,2589,2979,4125,2800,2836,3068,2867,1677,3776
UXS1,1597,2553,1335,3178,3345,3412,2985,3991,4429,861,2117,1288,2072,924,1748,1630,1211,1434,1715,1111
UXT,1274,1763,2215,3401,3227,2622,4765,7343,3191,1926,3535,1529,2537,1416,3025,2169,1338,2065,3036,1373
VAC14,2545,3098,1686,4297,5051,5292,3295,7704,3689,1742,3088,1659,2647,1970,2789,2394,1581,1817,2497,1847
VAMP1,299,480,201,274,226,629,741,1448,370,83,715,175,472,223,382,1086,202,382,314,218
VAMP2,1357,2952,2177,2408,2595,4789,1351,2555,2039,2518,9002,3448,6495,5662,8763,7422,5164,6850,4973,5868
VAMP3,4986,4624,1490,2740,5912,9521,3609,6139,4525,2553,7914,8034,6903,13183,10307,8214,8503,7522,4511,10377
VAMP4,605,890,1486,3349,1930,1304,1536,993,938,1089,1466,903,1390,1258,1327,1712,1098,1350,692,1083
VAMP5,1075,905,583,427,791,1199,366,1675,554,249,1645,1391,778,1326,2152,1042,820,1076,1188,1149
VAMP7,3271,3000,1483,3200,12054,5328,3793,4944,4524,2491,2711,2814,3408,3046,2780,3084,3089,2574,1904,2511
VAMP8,4505,9866,2309,6958,7364,8775,5613,14281,7820,9019,8554,2476,4425,815,5967,4573,2539,3142,6148,1163
VANGL1,2412,5449,1441,3578,5187,8338,2731,3087,3613,1025,1497,1333,2725,1139,1438,1403,1178,1264,1567,1168
VANGL2,3216,3445,3817,11980,159,4524,9535,9691,3044,4885,2515,149,4187,157,1370,2719,896,1407,2230,143
VAPA,8407,8265,8036,8341,15079,16297,8327,12552,15819,4494,11015,5210,10495,5749,8262,9644,7006,7652,7606,5948
VAPB,3360,4192,1673,6888,10188,6959,5344,6504,5447,2995,3540,2341,3937,2807,2678,3501,3127,2089,2184,3023
VARS2,1597,1698,1518,2651,2173,1539,2717,2207,7400,1263,1642,1194,1797,855,1816,1241,865,1095,1537,893
VARS,6744,7452,5032,4698,3770,7958,6510,9408,18798,3767,4548,2049,4443,2301,4152,2691,2233,2255,5820,1614
VASH1,1349,1433,1980,1791,1550,2346,1775,3122,1851,540,2698,3083,2019,1812,2269,3011,1518,1601,1517,1739
VASH2,1722,619,820,6065,67,1886,679,2202,264,167,287,821,603,106,222,461,178,272,234,128
VASN,535,2049,2758,2897,546,1652,565,7284,1271,3508,1257,1375,1932,1226,1875,1005,1066,795,1941,1037
VASP,4457,8765,4533,5135,3749,7254,6634,7511,5095,1989,6741,2437,5445,2048,5011,3349,2199,3819,5990,1527
VAT1,7414,11549,4010,24036,5588,27613,5300,8438,15240,17253,14606,19651,12830,18562,22943,13044,13685,14872,9698,18745
VAV1,706,558,47,127,382,1308,42,1215,437,95,819,863,289,322,812,602,246,348,342,474
VAV2,3005,3851,1131,3069,1502,4901,1018,3397,2975,655,2904,879,2592,551,1487,2564,1324,1360,2264,517
VAV3,361,4839,2227,12758,3083,13363,534,5153,512,7542,5823,435,5469,418,4348,8221,7412,3007,6655,198
VAX2,19,61,726,444,4,251,364,44,228,100,80,17,63,17,52,22,14,41,59,7
VBP1,3533,3022,1347,4159,6415,4094,5384,6052,5031,1948,2547,1575,2039,1902,1813,2248,1760,1817,1705,1615
VCAM1,4119,2038,560,477,2759,7992,1306,6986,1729,987,1244,1191,1954,1690,1796,2006,1030,1633,846,1670
VCAN,14238,19140,5515,14523,58062,47830,26366,3836,8003,2693,10389,33039,16311,4107,5772,5078,10129,5080,2637,10400
VCL,9306,17876,5462,4263,11191,15333,7999,11718,7891,5262,16245,12374,21000,19986,13073,14626,15093,13023,9337,15220
VCPIP1,3137,1725,2547,1899,8919,6454,2181,2252,2907,828,1527,1836,2889,1747,1385,2941,3039,1892,852,1427
VCP,21756,21612,12698,31951,26925,36194,20079,44896,23836,22491,22765,14700,18905,18471,23037,15750,15312,15084,21978,17223
VDAC1,9741,11568,8707,21535,14005,12404,22561,26893,19748,13485,10576,6191,9703,6482,9171,7011,7070,6213,11107,6868
VDAC2,4280,3646,2841,5311,3853,5025,5353,9418,5119,5454,4492,3514,4443,5194,4422,3847,3275,3309,3367,3239
VDAC3,5453,6012,8092,10732,11133,12633,14095,12445,14442,5077,5026,3535,4141,3539,4112,4208,3544,3440,3869,3387
VDR,1982,3155,645,915,4675,3451,2278,6973,3281,2316,5441,264,2950,167,1472,1915,1348,1195,3232,193
VEGFA,3624,15181,15004,5305,6130,17448,6948,6973,9114,4385,3081,3000,4810,4006,2670,3138,4417,2359,2699,3887
VEGFB,862,4907,3256,4121,8185,4559,1204,6463,3912,2484,5308,8656,4072,15425,12639,4372,7520,5811,2810,13062
VEGFC,326,491,658,352,555,464,395,270,337,107,496,645,778,1047,1083,854,419,1010,380,396
VENTX,21,46,14,8,23,80,18,77,29,5,266,42,30,76,86,69,54,50,62,94
VEPH1,75,240,153,154,246,1312,196,403,226,29,197,11,250,16,64,202,76,158,127,3
VEZF1,1854,3443,852,6014,5763,5545,1951,3964,5190,687,5352,2555,7117,3027,3838,6031,3802,4797,3252,2741
VEZT,2840,2816,1109,4759,3848,5623,5191,6745,5895,1538,3629,1977,4973,2834,2574,4239,2582,2785,2746,2488
VGLL1,365,4186,1433,232,390,1929,27786,5906,1754,3664,275,0,269,29,348,558,196,192,915,8
VGLL3,770,914,338,65,1436,1898,575,333,507,79,712,4406,3250,6428,3278,1602,4090,2050,320,3674
VGLL4,8751,7547,2354,5154,7460,10919,4520,12400,8281,1556,6280,2007,10179,2467,5226,7562,2861,4940,6394,2546
VHL,2774,1440,773,2715,5704,5750,1420,2013,4222,939,1904,1146,3563,1078,955,3088,1360,1404,1333,929
VILL,442,183,52,40,227,330,58,372,652,102,773,243,722,281,644,733,295,535,720,261
VIM,45878,124941,43647,21076,38164,95322,60337,56845,65390,12509,138698,242482,90733,245833,237404,93721,120460,138189,67540,260305
VIPAR,1162,1311,563,1158,1711,2393,2064,2097,2881,941,1475,1219,1696,1358,1370,1508,938,1223,1055,1341
VIPR1,49,115,523,687,2460,834,399,432,260,95,2048,415,2719,737,1076,1542,1081,1444,1472,891
VIT,28,22,36,213,10,33,1522,35,5,2,703,3229,1506,974,830,799,687,594,692,2035
VKORC1L1,2737,2859,2463,2706,10088,5755,5793,7951,15205,4446,3427,10657,6484,22395,13170,5244,12408,7271,2358,23358
