Sample,TNBC1,TNBC2,TNBC3,TNBC4,TNBC5,TNBC6,TNBC7,TNBC8,TNBC9,TNBC10,Normal1,Normal2,Normal3,Normal4,Normal5,Normal6,Normal7,Normal8,Normal9,Normal10
FDPS,10206,11890,3217,11023,5066,5142,13055,21306,13294,12712,5880,2380,4011,3105,5443,3738,2746,3476,6108,2667
NFE2L2,4972,6485,1959,6241,7478,9154,8147,13450,9838,2480,10415,6704,9978,6233,6697,9621,5612,8597,5903,6337
TAB2,5921,6979,1639,10599,10138,11142,10576,12995,7676,4145,5671,4638,9631,6370,5100,9422,5477,6311,4317,7433
PRDX5,3361,6976,6203,14398,6926,4752,3489,21921,11928,8180,10228,3612,5391,4168,9011,4715,2984,4764,9878,3294
SOX10,12,1510,11429,49579,0,10447,21306,619,7707,4,5838,6,15965,225,2180,4984,1464,3272,9393,214
PSMA2,5544,6725,3086,11237,8788,9332,12310,17699,20287,7302,6257,3542,4511,3832,4796,4796,3511,3849,5212,3492
RNF11,4863,4632,3058,16939,10894,12391,4165,3472,5164,2311,7518,5914,9481,10784,7868,8467,7774,7833,4888,7622
POGK,5658,7069,6008,18667,5794,10506,28714,17393,6895,9901,4017,1824,5053,1959,2968,3881,2324,2688,2788,1853
ZBTB4,2388,4210,2866,3083,7212,6263,1637,6126,2534,1822,11833,7904,12710,14149,10649,11597,9252,10227,6401,13038
TTYH3,3217,13683,7663,18799,4778,33343,5500,15343,6591,5678,4262,5881,4017,1423,3964,2313,1829,1235,4911,1458
PKP4,4211,5828,4038,9576,9122,7645,13511,11184,6642,1220,11825,3111,11600,4128,5663,11957,8301,6172,6429,3686
MFN2,5817,12273,1908,4772,8676,11736,3119,7699,7165,7394,8927,4778,8684,8485,8758,7959,6808,6528,7194,7161
YTHDF2,6881,5624,3317,29459,5221,8371,8774,9350,12328,5403,7121,2890,8720,3308,5404,5914,4045,4706,5981,2971
PRPF40A,7452,8140,2218,9015,10132,12759,15358,20326,7086,3755,6800,3229,7698,3190,4163,7694,4480,4820,4135,3314
WBP11,5597,5461,1594,9607,6312,13951,6651,33364,11600,4632,5899,2894,5643,3975,4849,6148,4788,4019,4720,4006
WDR6,5536,7499,6057,7649,5544,8933,3361,10129,8250,2457,12156,2119,13310,3039,9130,11574,5779,6824,13725,2596
PSMB2,8051,7032,3316,12870,4429,15372,17961,16668,18109,7067,5005,2896,3771,2636,4047,3466,2685,2950,4294,2996
PDE4DIP,4471,13345,2032,12602,6451,12003,3886,15665,5879,3055,4090,9155,5504,9681,7022,5454,5476,4758,2601,12422
MX1,13999,27144,517,1412,590,40318,4452,10285,4291,411,9025,1675,2055,1797,3625,15453,2560,2556,1403,1935
AP3D1,5244,9386,4341,10655,4653,12293,4602,10842,10952,3689,9426,4858,9693,5226,7970,7109,5231,5129,9534,4616
NUFIP2,6967,5577,6634,8894,12822,14183,8254,7504,10127,3541,5303,4844,10782,5757,4175,8199,5423,4964,7220,4254
KPNA4,7024,9430,2331,8441,11556,19807,17285,9223,10041,4022,4097,4310,5452,5953,4656,4862,4856,4457,2469,5141
TOMM70A,6994,4289,3525,13921,13919,9771,11524,12382,10150,5765,4775,3962,7202,6541,5055,5889,5279,4971,4172,5259
ALDH18A1,5865,6477,2527,18532,10450,13305,11417,22178,9926,5881,5864,2441,6087,1991,3860,4229,3104,3346,5160,2506
TARS,4036,16821,1864,5774,13084,20160,21564,15140,7482,3039,4368,2854,4892,3980,3114,3604,3192,3110,3696,3355
PCNA,8578,9440,5212,24259,7380,10348,13383,14056,20141,5122,4271,2110,3111,1313,2642,3167,2637,2376,3900,1532
PPL,2948,6499,1751,4891,2555,4648,732,7032,13459,2791,13264,4035,12996,4326,15566,9213,5787,9767,8006,14624
FBXL5,3116,4496,1848,3180,8169,11047,3834,5115,2800,1768,8833,9542,10458,15842,9850,9455,9910,9342,4869,11373
ZMIZ2,6717,8987,6115,15721,6712,15408,9382,18992,14267,4311,5691,1804,5459,2606,4573,4903,2730,3081,5278,2103
CENPF,14688,14284,13183,29931,6143,11504,13136,15191,12352,7318,1319,853,1681,76,560,734,516,391,701,162
AIM1,20039,5113,612,1821,9693,11234,14842,4068,4964,4248,6863,3511,12814,5668,6712,8613,7216,4815,6739,5134
PSMD1,6290,7718,3468,11969,9813,9970,7279,11533,16269,6165,6321,4844,4934,5402,6034,4810,5416,4528,5106,6835
DHX15,7938,7366,2079,6086,8879,12645,11019,17963,11047,3476,7460,3770,8864,3642,4949,7814,4873,5721,5323,3762
TNFSF10,8790,8156,628,2358,5665,15342,1971,13972,2328,1917,8672,4304,8059,5400,9991,17662,4447,9555,9844,5583
CDC42EP4,5129,5376,2300,2969,4813,7338,2410,34435,5851,1957,10271,3788,10793,5966,8649,7406,6694,6824,6758,4790
C20orf30,3161,4247,4779,6165,17058,7063,5784,7120,6997,4862,8775,6807,7146,10332,8782,6711,7991,6248,4891,9556
SMARCA5,6829,7191,1762,8386,10438,15615,7640,18670,9935,3363,7888,3679,9691,4061,4393,7286,4154,5401,4079,4005
ARHGAP21,6718,6581,4805,10580,6140,11098,6034,6161,5435,1675,5640,8543,8063,11618,6657,7645,8751,6375,2718,13205
HNRNPA1L2,5108,5017,4729,19742,2986,4702,5496,21155,14072,4852,8434,3025,8571,2863,5621,6666,4363,5676,8288,3058
CMTM6,6429,5648,3528,4315,10451,15464,5326,9576,18612,755,8356,3779,10275,3055,5822,10980,6884,5953,6101,2860
MRPL3,7744,4818,4856,11587,7782,10410,32317,20527,6859,4346,4876,2319,4323,2372,3202,3683,2817,2854,3897,2545
MXRA7,1792,5124,3136,5474,3720,9771,3214,2196,6705,519,8306,8110,8952,14445,14470,8008,10380,9975,3781,15846
DNAJC10,5199,7507,3594,6607,12592,11001,9674,17216,15560,1743,7595,4565,7161,3346,4738,7396,4786,5196,4829,3590
POLR2B,7783,5586,3765,8640,7741,11732,6071,19063,15526,3862,7209,3578,7368,4556,4984,7046,4812,4931,4808,4742
TAF15,6375,9661,6275,16140,4241,7529,3760,8587,8981,4188,10474,4693,7899,5528,8628,6944,5088,5968,6896,5773
GAA,4678,14791,2775,9683,10755,20905,2263,5958,9755,1567,14575,5101,6860,2729,8691,4933,3718,3707,7295,2844
CD47,9552,7448,2767,7762,7452,11340,8625,11292,6965,2908,8114,5302,10662,3709,5473,12268,6054,6718,5434,3735
SLC44A1,4906,6660,3027,2988,10133,14378,7496,7838,14226,2692,10247,3641,10560,2818,5568,13577,8304,6258,5225,2950
TRIB1,2657,4346,2360,16449,7280,5726,17083,3325,5034,1955,6683,2349,14998,12989,5936,7713,6519,4939,9575,5541
INTS3,6684,9025,4665,14039,6305,7187,11911,21579,8000,4059,6692,3428,8097,3926,5193,6897,3662,3798,4755,3448
CASC3,4729,7305,9131,9215,4576,14736,4978,6814,5625,2543,8923,5723,11369,6429,6709,10692,4931,7200,5478,6237
SPG21,4403,6833,3235,13402,8390,18686,16005,11820,11609,5461,5493,3632,4795,4541,5678,4234,3549,3205,4547,3825
YES1,8952,5269,7810,7506,13431,26445,5522,9853,16268,4235,3527,2949,6308,4116,2935,5288,3602,3747,2504,2987
HADH,2565,3528,3393,11277,4355,3351,2824,9727,7357,3309,6770,13120,7415,20291,7529,6096,6786,5557,4532,13306
HSPA4,6238,7931,3443,9829,10558,3190,11983,15907,11557,7419,7944,3815,7520,4430,5708,5655,5113,4768,5602,4469
LMAN2,3375,7397,5143,15178,11223,10123,3330,15879,7713,3327,12350,3515,6347,3108,8822,5102,3217,4599,10170,3078
PPP2R5C,4541,6292,3174,4854,13717,12458,16377,9037,10931,2997,6771,4319,9089,4959,5680,7851,5181,5288,4498,4957
PTGFRN,5264,17617,2325,7195,9983,18692,6704,3107,7804,6404,9468,5649,10868,1861,5271,6828,4834,5261,5519,2284
TFRC,6240,9612,1470,7481,20666,18223,6038,11441,19705,1743,4510,2168,3955,3429,4496,3961,4727,3505,3946,5616
BST2,3408,18057,553,551,838,29067,2526,28924,1374,841,15425,3357,3191,3635,6920,7975,3084,4400,4921,3882
STAT5B,2400,3868,1504,7123,5357,15739,2796,3133,4675,1532,8000,8181,12471,13596,8573,9880,8638,8002,6071,11371
NMT1,3781,6695,2858,11650,8420,12856,4198,8873,8193,3355,7349,6041,9849,7737,7914,7116,5981,5645,6285,8010
UQCRC1,6591,9786,4307,6700,9451,10493,4282,10612,11830,6842,9008,4294,5838,6145,9087,5096,4132,4945,9166,4128
MYCBP2,2478,3358,557,1065,18470,8262,3559,4864,2965,1783,5266,10295,9629,14914,6760,10175,11109,7192,3227,16721
APOA1BP,7988,14322,8542,11760,7526,5673,13105,15107,11040,15880,6186,1577,2948,2187,4394,2849,2320,2510,4587,2071
MCM4,8576,10832,1618,10055,17876,24354,16708,17946,14384,3862,2068,929,2572,464,1495,1863,2084,1313,2911,576
MFAP4,388,2474,174,140,2932,2312,883,946,465,243,15746,14200,4368,10145,21849,11774,13643,17015,2616,20101
HNRNPH3,7076,5719,4889,14121,5392,10692,4732,15121,10500,2868,8361,4880,8568,5335,5682,8164,4364,6286,4869,4553
RAB5C,5144,8076,1296,6683,15220,13596,2605,7812,7560,2462,10116,6739,6430,6390,9635,7187,6195,5528,6884,6607
CD93,3845,2877,5520,3230,4072,8802,5830,1749,2740,1769,10067,12335,8175,15682,9329,7120,9982,12064,3140,13700
HSBP1,5303,5466,7987,16819,10194,7408,13701,15041,8352,2721,9001,3587,6193,2289,4983,6846,3864,4652,5592,1989
GNAI3,7743,8183,2063,8139,6516,15773,12578,14152,14521,6230,5399,3879,6754,3790,4315,5554,4060,4636,4491,3205
PYGL,1487,5110,1029,198,1221,9899,1983,942,3449,990,4568,9179,4174,31121,10812,4902,14461,7246,1336,27755
CBX1,4252,8255,4450,36390,4891,10340,9497,7118,12217,4522,5634,3083,6100,2115,3646,5457,2951,3777,5039,2092
EIF6,9203,7738,3705,7573,6810,3428,11428,23550,19309,7781,6958,2289,4177,2118,5673,3787,3513,3166,7231,2365
SFRS2IP,5353,3920,1610,5105,16036,8667,4789,12500,10939,2244,7033,5900,11271,6706,5215,10982,6074,7662,3282,6413
FAM134A,5002,4505,3063,10756,8712,13578,5341,12358,9442,4035,8119,4696,7950,4868,8405,7998,5333,5422,7026,5070
NBL1,10111,9119,1713,2215,6678,5469,1188,2960,5422,1071,13059,7840,7034,5479,14844,18525,6792,9455,5958,6679
ARPC1B,4493,16644,2839,3979,10512,11786,3331,25319,9790,5850,8163,7040,3132,2614,8054,3271,2942,2830,5782,3194
CDK16,5152,8605,4620,13475,4960,16369,14249,10011,15868,6421,5241,3253,5200,4700,4960,3618,3429,3123,4612,3696
PSMA6,7392,7984,2180,10879,8747,18275,9335,10386,14744,4740,6892,3970,3997,4368,5601,4960,3897,4139,4964,4062
PSMC3,6555,8888,3387,15037,3172,7027,5647,21791,14108,6173,7365,4133,4333,4224,6923,4408,3672,3738,6346,4498
SUMO1,5239,4832,3880,11854,5557,7800,18304,15935,18445,3892,6842,3404,5484,3480,4975,5697,3756,4376,4125,3514
LRRFIP1,6248,6546,3530,2425,13170,6714,5462,7433,12217,1391,11405,5548,9584,4545,7632,12347,5722,8760,5473,5189
PRSS23,6258,5259,4999,2206,13292,10818,3281,1816,2910,1778,17624,9362,21855,4967,6701,6759,6607,7760,3777,3170
XRN2,5844,5511,1527,7165,14716,11376,6219,19893,11885,3604,7423,4007,7651,3903,4815,7052,4877,4754,5192,3771
RER1,4653,6482,4076,5706,13138,12049,5188,10845,9871,6663,8666,4937,6997,5981,8184,6523,4923,4931,6172,5166
TNFRSF1A,5132,7434,3016,5746,7868,13453,6711,9940,5377,4312,10051,7643,7234,6646,9133,5590,5480,6414,7909,6021
CAV2,1262,2838,3942,317,2073,2812,2946,648,1112,357,5772,9786,6828,27607,15870,9254,15556,11606,2247,18236
WDR45L,7251,11558,2239,11771,10826,16811,3930,17117,8913,1814,7347,2607,6442,3515,5277,6716,3890,4715,4788,3510
CDK4,5171,8465,4413,16377,6423,7594,11796,23616,9365,4860,6370,3260,4973,2892,4790,4794,2926,3726,6274,2877
PXN,4003,6907,2934,6107,6511,9731,6290,8169,5850,1314,11371,8573,9253,6189,9550,8429,8065,8080,7690,5836
SMC4,11686,13618,2768,15777,4231,17419,27946,10737,16273,3518,2164,1717,3033,1067,1333,2566,1240,1538,1153,1055
SH3D19,825,2067,927,1184,4663,4939,2134,2371,2310,819,5971,17269,10405,23110,10461,8841,11425,8120,2585,20382
DCAF8,8053,7016,5461,10213,5709,6095,5315,12383,6914,6958,8142,5174,8027,7183,7415,8350,5434,5506,4948,6476
PUM1,5504,4669,3687,13905,6947,14197,6154,9012,8781,4405,7080,4319,11386,5193,5161,8445,5549,6398,4895,4905
SLC25A39,6068,10544,7707,13973,12162,10870,10260,12452,10898,7306,6301,2518,4196,2425,5731,3127,2973,2553,5959,2498
AFF4,4451,4768,2853,7570,12496,12843,4471,8385,2720,3047,7617,4871,15946,6282,4720,11497,8850,7655,3931,5482
SMEK2,5736,4988,2550,7032,10727,15361,10379,12650,12064,5131,5102,4321,7614,6515,4495,7410,5005,4722,3023,5597
XPO7,6335,6869,2800,10376,18172,12930,11296,13059,7782,4895,5086,3739,6181,4558,4010,6164,3554,4344,3443,4811
GMPS,4160,13704,1493,11350,5666,13375,26179,21116,13358,6249,2658,1752,3552,1804,2493,2500,2222,2350,2585,1723
TSN,5679,6776,3475,11462,9114,8134,13959,16923,13188,3059,6197,3151,5951,4115,4976,6316,4690,4457,5005,3613
CTSL1,9092,12581,2089,2604,16755,16534,1331,6970,7614,1671,7590,19207,3802,6614,6463,4702,3379,3625,1945,5638
IFNGR1,4823,4438,2220,5306,10954,13211,6905,8007,6029,2104,10895,6884,7179,5983,7724,8914,7386,6025,6874,8121
TRPC4AP,4946,5212,3092,8776,11183,5985,4705,21174,14172,4750,6405,4713,6822,5287,6490,5703,5510,3944,5520,5581
ZC3H7B,4860,4731,2389,8471,4845,10965,2838,6257,12643,1990,9693,4933,11164,8091,8145,9606,5946,6787,8855,6751
MAP7D1,6662,5657,1697,8358,2716,7282,2289,8529,6328,4302,8808,7866,5663,13176,15144,5043,6465,5645,5236,13016
CYCS,7354,4995,5269,9336,12235,10064,18912,7311,20741,6251,5050,2772,4968,4056,4072,3755,3609,3266,3139,2649
KIAA1671,2413,5091,1394,10140,10705,18557,3255,3503,7052,1386,8695,3197,21200,3933,5573,10989,5790,7317,6859,2699
RNF130,3128,5260,3441,8318,9124,10722,4238,12228,4511,2867,7800,10451,5708,10651,9449,6197,5551,5237,4104,10630
PI4KB,5365,11228,3761,13335,5480,19365,5195,14528,6323,6855,6567,3280,6337,3962,5541,6300,3477,3903,4424,4351
MRC2,5259,6945,2288,2519,4772,7241,2164,7791,6680,766,13951,11701,13597,5850,13222,5765,7212,5898,7600,8163
ICMT,4842,6371,2772,7013,8738,16439,5012,13683,7065,4952,7048,6279,6670,6982,6713,5144,5899,5083,6176,6478
SLC2A1,3234,20506,1722,6966,6517,11597,4239,18009,23080,15575,5285,674,4062,1257,2813,2854,3656,2523,4054,711
PPAP2B,1707,2423,1389,1625,7717,11727,2337,2520,1132,1277,12169,9840,11746,11636,9675,11868,9495,10098,3960,14976
TNRC18,3347,8334,5634,11105,4892,9177,3919,10566,7230,4902,10347,3633,12632,5008,7622,7293,7273,5783,7305,3299
CACYBP,8216,8227,6741,15824,6829,6924,17361,17858,7657,15884,3423,2578,3042,2921,2948,3051,2101,2385,2713,2545
ANP32E,12777,15417,9998,22537,773,13221,17733,9377,8997,5931,2664,1978,3050,1838,2133,3252,2421,2435,1532,1127
HAX1,11633,11316,6098,13566,6155,4978,16750,14901,7636,9156,5355,2754,3674,3744,4985,3636,2663,3178,3410,3466
ACO1,1122,2261,555,2266,4324,4244,2022,4599,2331,1832,4252,14323,5440,29021,12597,4266,11292,6613,2376,23312
INTS1,3506,8081,3421,6903,6870,22299,3145,14979,14744,6601,6005,2838,6999,4022,6561,5264,3347,3294,6939,3147
TNPO1,6237,4179,2342,3930,14291,13329,8537,7812,10337,3392,5768,5963,9518,6974,5118,8385,6957,6419,3424,6047
TMEM50A,7254,6241,5366,5506,8121,7711,6279,11344,11738,4611,7787,5714,8349,5166,7232,8219,5750,6016,5698,4841
VDAC3,5453,6012,8092,10732,11133,12633,14095,12445,14442,5077,5026,3535,4141,3539,4112,4208,3544,3440,3869,3387
PARP14,12223,10265,982,2942,5948,37089,3992,16256,4823,625,5684,4532,3955,2965,3534,11038,3539,3049,2237,3165
EIF2A,5207,7374,2293,7885,6989,10285,19467,15623,4777,3566,6345,3900,9862,4290,4489,6393,4795,5623,5045,4631
PABPN1,6321,5371,9606,18320,4997,8172,11466,10395,10253,4451,8517,3086,6011,3330,5734,6570,3520,3799,5359,3430
C1orf9,3266,3129,10232,16425,5211,8329,12282,8857,2610,37494,3900,1562,6292,1934,2623,4598,2599,3200,2431,1629
SCUBE2,142,202,122,272,13015,526,96,85,112,153,37214,2457,23780,1495,15836,13892,13331,8938,4211,2700
GUK1,5760,15218,8301,12399,8868,5541,2609,19892,4936,5456,7732,3534,3824,3372,7993,3561,3113,3353,9437,3629
YY1AP1,9276,14750,3791,16132,3599,9348,10981,11562,6410,8097,6861,2557,6334,2975,4904,6303,3282,4165,4007,3066
SNRNP70,5082,7068,6355,11512,3814,4207,5795,12665,10980,4848,11691,3175,9103,3693,7209,9937,4645,5419,7932,3239
XPOT,6029,13355,3511,8125,17827,8691,10144,17479,10977,3731,2790,3807,4850,5030,2782,4155,4539,3160,2226,4958
DAD1,4521,6182,4166,10355,11195,8802,8867,9866,10562,3568,8547,4772,5339,4532,8272,6036,4872,5899,6872,4891
ZAK,2583,3946,1568,3508,1327,4998,4898,4230,5633,1226,6487,9944,10202,24567,6361,8791,11293,8760,2329,15414
CDH3,28236,20724,5413,549,291,13749,2927,3832,14777,464,13516,42,8249,195,2883,5339,1942,3504,11301,122
RNF40,4281,8635,5040,11668,5468,8140,7480,21932,10358,3535,7396,2967,7134,3885,5754,5847,3911,4621,6209,3674
PRKACA,3079,4917,5658,12326,5645,6017,11156,12885,6203,3177,8096,5958,6949,8327,8304,5460,5667,5154,6051,6901
RPL18A,4731,3134,6240,5648,3963,3220,5655,40423,8519,5238,7883,2574,8437,2296,6195,3917,2569,3454,11773,2047
CREBBP,5179,8773,3184,9049,7704,12696,8489,9427,5948,2429,6440,4476,11353,5570,5515,9259,5845,6249,4965,4953
GDI1,9112,6894,6994,16726,5640,6250,6931,6414,7709,6303,9539,4300,6758,4923,6817,6037,4851,4862,6274,4002
ATP5H,5104,5601,5572,19008,7244,6624,11745,10773,10984,3752,6897,5284,4095,5857,6976,4157,3785,4325,4599,4914
PTDSS1,5062,9434,6016,11670,11954,16539,11463,12335,10916,5289,4994,2823,5492,2429,3719,3930,3512,3292,4049,2357
SMS,5433,15601,3583,9425,3356,19372,16247,12189,13602,8226,4513,2241,3628,1649,3396,4112,2347,2441,4144,1749
C1QA,6838,10037,1222,1082,2715,11202,924,12378,3999,1256,14871,17703,2952,5987,14981,6147,4386,3752,5546,9244
GSTK1,3763,4468,8319,5331,14773,8525,3294,10283,4503,6893,11747,4262,6751,5908,9228,6035,4624,5206,8138,5163
CD276,4764,11635,4230,16510,4893,13399,14535,7039,14536,1872,5779,5058,6589,2244,5469,3488,2919,3229,5234,3753
CALCOCO2,3497,6294,1950,7138,9226,9089,4497,5373,5840,3730,8024,8183,7595,9411,8165,9482,6307,6546,6622,10000
KIAA0182,3036,4694,4135,9350,11974,6569,6684,6381,5023,9105,6114,3895,7942,9839,7507,8386,6821,5917,4309,9241
RBM17,8084,11652,4360,12795,3242,21342,10855,9646,14810,3951,4899,2779,4558,3642,3444,4295,2924,3532,2824,3191
AUP1,5680,7957,4801,8449,5417,10716,15481,16208,11465,6431,7196,3424,4818,3465,6217,4001,3053,3484,5182,3289
SAA2,193,87,52,18,81,83,312,1520,1675,20,11191,1453,6769,33911,16191,1455,30601,24205,1231,5532
PIK3R3,3038,12938,2567,20338,6558,10688,6082,14251,4802,5664,5666,4264,6961,4605,4720,5173,3878,5666,6874,1824
UQCRH,6041,5811,4020,21968,2145,5224,11388,23323,13686,7923,4491,3005,3921,4125,4300,2782,2655,2829,4039,2779
RPA1,5026,6930,1838,7995,8856,13762,5806,12894,8689,5429,7276,3937,7564,5099,6236,7143,5009,5877,6001,5071
FNDC3B,6599,7727,3079,3826,8586,20798,9659,5075,8067,1166,4839,6429,8707,8520,4698,6197,6134,6008,2414,7892
CILP,6014,5087,144,180,18759,8881,3129,4165,439,2179,1839,33120,3737,6945,9943,1448,9453,4353,609,15959
DVL3,6507,10384,4374,19196,5703,17984,5861,10069,8966,4268,5124,3055,6643,3393,4179,5488,3400,3684,3970,3925
SEC14L1,3457,4366,2415,10564,14069,10566,3144,7602,6747,1809,7399,6960,9188,7517,7939,6708,7290,7658,3404,7310
SVEP1,262,547,114,149,1478,1054,169,146,168,90,6277,11859,12690,35530,16571,5757,16533,9714,1024,15906
HTATSF1,7118,7949,2481,11416,10075,7070,6467,11964,9857,8754,6993,3688,5557,4756,5927,6284,4308,4777,5124,5409
OCIAD1,4049,4178,4728,9781,5951,11852,7025,14067,8552,3103,9812,4108,8198,5100,6398,7640,5100,6594,5081,4605
OSBPL9,2372,7717,2643,10228,7460,18325,4714,19209,6493,2972,7167,2849,6858,3794,5051,8668,5100,6005,3867,4414
CCDC6,6512,9537,2467,6414,16184,17752,5989,8318,4054,4871,6482,3492,8734,3148,4966,7762,4981,5542,5983,2675
KANK1,1804,2083,4672,5819,534,8850,4918,9076,4481,2107,5213,7618,8289,16898,10504,6289,9437,7623,2202,17425
ANPEP,4397,13472,480,402,929,6407,749,2051,14016,280,9313,3948,14281,1460,9151,13391,12069,7550,19141,2302
ANKRD11,7980,6639,4705,10228,5555,8127,8125,13587,10254,2895,8178,3890,9372,4928,5083,7227,4426,5069,4984,4493
GGA2,4072,5354,4296,8752,5578,20700,5531,15569,4479,2565,8038,3819,9718,2896,5384,8076,6543,5879,5676,2815
FERMT2,1251,3077,1532,2756,7447,3411,6104,2503,4957,266,4643,12504,7381,24055,8184,6651,9928,7997,1845,19187
OST4,4167,6858,7730,11540,7643,5746,15162,14252,8050,8520,7211,4200,4380,3644,6158,3724,3005,3882,5697,4020
ARFGEF2,8090,2573,2865,9825,31983,7241,4695,6228,6652,3728,4279,2780,8634,4286,3604,9636,7470,4425,3073,3447
KIAA1967,7336,7038,2593,9136,14975,7934,6172,13915,8284,4554,8207,2963,7083,3506,6047,6988,3388,4862,7567,2965
SBDS,2836,5097,2616,3318,9151,7224,8422,7119,9171,3505,8390,5738,6839,10554,8785,6801,7530,6993,4088,11329
LIMCH1,1630,9007,2642,1019,7999,10768,925,8097,1022,1552,7100,8825,5864,9276,10445,7923,9519,7507,2640,21642
TFAP2C,3902,4492,8166,20807,2611,4038,26172,7340,7119,8684,7523,68,13053,232,2133,4511,1334,4226,8787,153
HNRNPH2,6204,4128,4184,5991,9355,7965,6478,8652,6888,3988,11908,4413,8899,4744,7637,8812,6109,7468,7054,4437
PRMT1,10571,7933,3778,10203,4067,5743,13421,16095,22149,4809,6673,1740,4264,1594,4267,3511,2411,3010,7292,1697
MAOB,180,9679,1048,133,101,14573,895,1465,3243,139,25441,6995,6860,11855,9369,7113,8022,6716,7952,13405
RMND5A,3827,5208,3028,6781,24090,8585,7584,12449,7187,4790,3621,4212,8177,6441,4515,6615,5076,4735,2785,5366
TXNRD1,7920,6829,1970,9965,12902,11820,13494,13593,11246,3088,3361,5347,4288,3962,4943,4863,3972,4109,2729,4617
USO1,4850,4483,3093,8741,9606,11064,4672,16570,12995,3046,5920,4853,8376,6459,4643,6069,4805,5428,3495,5779
PACS1,2894,8105,3411,15691,10509,11710,4727,5927,9489,946,5511,4405,7567,7063,7086,6391,6236,4936,6093,6120
EP300,5077,5012,2375,9927,11420,12209,9337,5161,8710,2603,5638,4243,11903,5946,4043,9337,6199,6069,3653,5633
NRBP1,6160,13665,2838,10992,9893,9048,5470,7950,11040,6596,6607,4214,6287,4172,6007,5467,3701,4676,5069,4627
TMEM9,3734,3610,11590,20104,723,10755,6820,19034,14091,3203,8294,1406,5429,1565,5693,3606,2819,3799,6417,1703
HSPA1B,19772,9414,7034,8883,3856,7055,4325,7412,19203,7522,5398,2048,4540,5780,4566,6129,2264,2858,4564,1727
C20orf43,5769,6486,2561,12171,6918,7028,7870,13605,9325,4326,8366,4508,6037,5072,6965,6079,5103,5249,5765,5098
LUC7L3,4651,4918,5936,15327,4440,6305,16284,9014,9279,2786,8783,3457,8026,3036,5013,10679,4153,4346,4086,3776
EFR3A,5012,8522,2894,2850,40064,16251,2555,5028,6072,1874,4582,3678,5793,4344,3521,5811,4865,3918,2632,4008
MAF1,5041,9257,8321,15657,7831,5739,2141,11619,9267,4531,7001,4380,5053,5614,7789,5484,3995,4670,5855,4994
MFAP5,1959,1107,292,207,7412,2728,1157,692,300,238,4669,47426,6584,10698,11159,1566,12954,7557,901,14569
SLC38A10,3256,13187,2543,9409,4826,8279,2997,9021,6555,4255,11720,4466,7027,5708,12739,5577,4540,4980,7017,6004
FLOT2,4682,7053,4529,5952,4744,10289,4115,9870,12883,2983,10331,4821,7984,5137,8640,6669,5228,5960,8023,4198
POM121,4050,5381,4371,8902,8392,10861,7347,11838,17004,4971,5990,2967,7724,5755,4999,6158,4232,4095,5090,3918
ATIC,5159,6439,2451,7828,11591,9191,18449,16713,14500,2229,7085,2588,3775,3105,4722,3931,3266,2774,5542,2650
OLFM4,2,358,88,27,51,125,727,117387,33,6,5154,41,4563,104,480,606,613,854,2665,95
EPHB4,4987,6436,3890,21249,12290,6675,2438,7225,6032,5119,8525,3159,10052,3557,6014,6320,3525,4143,10251,1783
G0S2,147,583,1253,57,147,136,421,368,301,78,1150,13175,4483,37497,21162,8559,3998,8086,1747,30311
TAX1BP3,4540,8016,6395,7091,9236,9781,3995,27754,4842,2508,6567,4316,4902,3230,7277,4033,3451,3969,7212,4512
YIPF3,3713,7318,3946,10044,6625,9649,7363,16605,8705,3960,8310,3961,6350,3992,7511,5233,4055,4527,7499,4253
MRPL51,4030,6421,4227,8173,4036,9004,11110,38037,8674,5804,5599,2749,3344,2782,4214,3338,2272,2775,4224,2785
NUP210,4862,13991,1377,6828,14793,33465,8562,8947,19462,3697,3065,351,2963,103,2261,2342,1692,1469,3124,241
ATP6V1B2,7881,7934,2450,6474,16521,16083,7282,11050,5638,5291,4719,6227,5206,4449,5696,5025,3271,3576,3717,5093
GFRA1,111,137,174,7,733,295,2729,2278,1704,323,21553,3907,17057,3050,10552,10487,31670,21325,2146,3332
ATP6V0C,5642,7808,8470,12277,7094,7378,8253,12834,7004,6626,7292,4357,5254,4314,8838,3640,4112,3005,6454,2911
C2orf28,2437,9527,4288,7111,9277,6078,10559,11547,9371,5548,7763,4389,5003,5913,7721,6110,4415,5185,5504,5725
SCARB1,3399,10180,3632,5605,2632,12635,3565,11479,16644,8127,5228,5790,6230,4755,8473,3764,4102,7283,4214,5718
FOXP4,5885,5989,7778,16607,3360,8561,17878,15647,12303,2070,4086,1633,6015,3995,4497,3069,2501,2351,6375,2833
POLDIP2,3666,7104,5503,10307,11288,10063,5812,9095,12481,4342,6680,3795,5619,4977,6568,5004,4195,3847,8837,4234
LTBP3,1514,6279,2640,4004,2587,7303,715,9947,6462,2248,15842,5152,13180,6878,12480,7868,6043,6734,8787,6727
SPCS3,5728,5136,3608,5316,12208,6367,6353,17352,7007,2581,7572,5276,8975,4797,6572,7311,6168,6425,5280,3345
DDX23,5011,6627,1326,15361,5430,6293,3229,22753,6457,3532,8367,3701,7373,4177,6239,7242,3861,5125,6523,4664
